Miasta,Województwo,Powiaty i miasta na prawach powiatu,Area in km²,Population,Search
Kołobrzeg,zachodniopomorskie,Kołobrzeski,27,43426,kolobrzeg
Dębica,podkarpackie,Dębicki,34,42986,debica
Radomsko,łódzkie,Radomszczański,51,42973,radomsko
Ciechanów,mazowieckie,Ciechanowski,33,41740,ciechanow
Mikołów,śląskie,Mikołowski,79,41618,mikolow
Skarżysko-Kamienna,świętokrzyskie,Skarżyski,64,41224,skarzysko-kamienna
Kutno,łódzkie,Kutnowski,34,40723,kutno
Nysa,opolskie,Nyski,28,40685,nysa
Mińsk Mazowiecki,mazowieckie,Miński,13,39837,minsk%20mazowiecki
Świnoujście,zachodniopomorskie,Świnoujście,202,38904,swinoujscie
Sieradz,łódzkie,Sieradzki,51,38729,sieradz
Chojnice,pomorskie,Chojnicki,21,38729,chojnice
Żyrardów,mazowieckie,Żyrardowski,14,38594,zyrardow
Zduńska Wola,łódzkie,Zduńskowolski,25,38402,zdunska%20wola
Szczecinek,zachodniopomorskie,Szczecinecki,48,37557,szczecinek
Bolesławiec,dolnośląskie,Bolesławiecki,23,37055,boleslawiec
Kwidzyn,pomorskie,Kwidzyński,22,36854,kwidzyn
Malbork,pomorskie,Malborski,17,36709,malbork
Świdnik,lubelskie,Świdnicki,20,36680,swidnik
Nowa Sól,lubuskie,Nowosolski,22,36040,nowa%20sol
Wołomin,mazowieckie,Wołomiński,17,35620,wolomin
Knurów,śląskie,Gliwicki,34,35619,knurow
Oświęcim,małopolskie,Oświęcimski,30,35577,oswiecim
Jarosław,podkarpackie,Jarosławski,35,35298,jaroslaw
Oleśnica,dolnośląskie,Oleśnicki,21,35132,olesnica
Żary,lubuskie,Żarski,33,34837,zary
Czechowice-Dziedzice,śląskie,Bielski,33,34783,czechowice-dziedzice
Grodzisk Mazowiecki,mazowieckie,Grodziski,13,34718,grodzisk%20mazowiecki
Sanok,podkarpackie,Sanocki,39,34345,sanok
Lębork,pomorskie,Lęborski,18,34000,lebork
Chrzanów,małopolskie,Chrzanowski,38,33928,chrzanow
Sochaczew,mazowieckie,Sochaczewski,26,33456,sochaczew
Brzeg,opolskie,Brzeski,15,33403,brzeg
Oława,dolnośląskie,Oławski,27,33166,olawa
Nowy Targ,małopolskie,Nowotarski,51,33065,nowy%20targ
Cieszyn,śląskie,Cieszyński,29,32947,cieszyn
Luboń,wielkopolskie,Poznański,14,32835,lubon
Jasło,podkarpackie,Jasielski,37,32727,jaslo
Olkusz,małopolskie,Olkuski,26,32261,olkusz
Iława,warmińsko-mazurskie,Iławski,22,32188,ilawa
Pruszcz Gdański,pomorskie,Gdański,16,32171,pruszcz%20gdanski
Sopot,pomorskie,Sopot,28,31903,sopot
Września,wielkopolskie,Wrzesiński,13,31759,wrzesnia
Ostróda,warmińsko-mazurskie,Ostródzki,14,31336,ostroda
Kraśnik,lubelskie,Kraśnicki,26,31296,krasnik
Mława,mazowieckie,Mławski,35,30802,mlawa
Dzierżoniów,dolnośląskie,Dzierżoniowski,20,30614,dzierzoniow
Czeladź,śląskie,Będziński,16,29876,czeladz
Żywiec,śląskie,Żywiecki,50,29732,zywiec
Police,zachodniopomorskie,Policki,37,29627,police
Myszków,śląskie,Myszkowski,73,29379,myszkow
Augustów,podlaskie,Augustowski,81,28995,augustow
Zgorzelec,dolnośląskie,Zgorzelecki,16,28931,zgorzelec
Reda,pomorskie,Wejherowski,34,28704,reda
Nowy Dwór Mazowiecki,mazowieckie,Nowodworski,28,28548,nowy%20dwor%20mazowiecki
Bochnia,małopolskie,Bocheński,30,28441,bochnia
Kobyłka,mazowieckie,Wołomiński,20,28339,kobylka
Swarzędz,wielkopolskie,Poznański,8,28254,swarzedz
Brodnica,kujawsko-pomorskie,Brodnicki,23,28190,brodnica
Krotoszyn,wielkopolskie,Krotoszyński,23,28126,krotoszyn
Bielawa,dolnośląskie,Dzierżoniowski,36,28027,bielawa
Wieliczka,małopolskie,Wielicki,14,27845,wieliczka
Śrem,wielkopolskie,Śremski,12,27817,srem
Giżycko,warmińsko-mazurskie,Giżycki,14,27310,gizycko
Łuków,lubelskie,Łukowski,36,27159,lukow
Czerwionka-Leszczyny,śląskie,Rybnicki,38,26522,czerwionka-leszczyny
Jarocin,wielkopolskie,Jarociński,22,26286,jarocin%20(pow.%20jarocinski)
Wyszków,mazowieckie,Wyszkowski,21,26019,wyszkow
Łowicz,łódzkie,Łowicki,23,25972,lowicz
Gorlice,małopolskie,Gorlicki,24,25523,gorlice
Wągrowiec,wielkopolskie,Wągrowiecki,18,25398,wagrowiec
Zakopane,małopolskie,Tatrzański,84,25204,zakopane
Kętrzyn,warmińsko-mazurskie,Kętrzyński,10,25113,ketrzyn
Pszczyna,śląskie,Pszczyński,22,25031,pszczyna
Świecie,kujawsko-pomorskie,Świecki,17,24841,swiecie
Kłodzko,dolnośląskie,Kłodzki,25,24810,klodzko
Biłgoraj,lubelskie,Biłgorajski,21,24769,bilgoraj
Turek,wielkopolskie,Turecki,16,24463,turek
Środa Wielkopolska,wielkopolskie,Średzki,22,24324,sroda%20wielkopolska
Skawina,małopolskie,Krakowski,21,23967,skawina
Bielsk Podlaski,podlaskie,Bielski,27,23823,bielsk%20podlaski
Wałcz,zachodniopomorskie,Wałecki,38,23578,walcz
Żagań,lubuskie,Żagański,40,23462,zagan
Kościan,wielkopolskie,Kościański,9,23398,koscian
Lubliniec,śląskie,Lubliniecki,89,23347,lubliniec
Kościerzyna,pomorskie,Kościerski,16,23296,koscierzyna
Piastów,mazowieckie,Pruszkowski,6,22932,piastow
Białogard,zachodniopomorskie,Białogardzki,26,22418,bialogard
Kluczbork,opolskie,Kluczborski,12,22033,kluczbork
Aleksandrów Łódzki,łódzkie,Zgierski,14,22002,aleksandrow%20lodzki
Orzesze,śląskie,Mikołowski,84,21986,orzesze
Szczytno,warmińsko-mazurskie,Szczycieński,10,21878,szczytno
Świebodzice,dolnośląskie,Świdnicki,30,21805,swiebodzice
Ostrów Mazowiecka,mazowieckie,Ostrowski,22,21530,ostrow%20mazowiecka
Płońsk,mazowieckie,Płoński,12,21530,plonsk
Goleniów,zachodniopomorskie,Goleniowski,12,21462,goleniow
Sulejówek,mazowieckie,Miński,19,21428,sulejowek
Polkowice,dolnośląskie,Polkowicki,24,21350,polkowice
Bartoszyce,warmińsko-mazurskie,Bartoszycki,12,21314,bartoszyce
Sandomierz,świętokrzyskie,Sandomierski,29,21273,sandomierz
Józefów,mazowieckie,Otwocki,24,21217,jozefow%20(pow.%20otwocki)
Łaziska Górne,śląskie,Mikołowski,20,21116,laziska%20gorne
Grajewo,podlaskie,Grajewski,19,20899,grajewo
Zambrów,podlaskie,Zambrowski,19,20848,zambrow
Świebodzin,lubuskie,Świebodziński,17,20778,swiebodzin
Mrągowo,warmińsko-mazurskie,Mrągowski,15,20533,mragowo
