Miasta,Województwo,Powiaty i miasta na prawach powiatu,Area in km²,Population,Search
Wysokie Mazowieckie,podlaskie,Wysokomazowiecki,15,9017,wysokie%20mazowieckie
Oborniki Śląskie,dolnośląskie,Trzebnicki,14,8990,oborniki%20slaskie
Ryki,lubelskie,Rycki,27,8985,ryki
Bystrzyca Kłodzka,dolnośląskie,Kłodzki,11,8939,bystrzyca%20klodzka
Maków Mazowiecki,mazowieckie,Makowski,10,8939,makow%20mazowiecki
Kożuchów,lubuskie,Nowosolski,6,8892,kozuchow
Sucha Beskidzka,małopolskie,Suski,28,8868,sucha%20beskidzka
Sępólno Krajeńskie,kujawsko-pomorskie,Sępoleński,7,8720,sepolno%20krajenskie
Stary Sącz,małopolskie,Nowosądecki,15,8701,stary%20sacz
Czarna Białostocka,podlaskie,Białostocki,14,8579,czarna%20bialostocka
Kolbuszowa,podkarpackie,Kolbuszowski,8,8495,kolbuszowa
Wojkowice,śląskie,Będziński,13,8477,wojkowice
Żuromin,mazowieckie,Żuromiński,11,8437,zuromin
Chełmek,małopolskie,Oświęcimski,8,8413,chelmek
Ustrzyki Dolne,podkarpackie,Bieszczadzki,17,8410,ustrzyki%20dolne
Strzyżów,podkarpackie,Strzyżowski,14,8402,strzyzow
Wieruszów,łódzkie,Wieruszowski,6,8332,wieruszow
Kamień Pomorski,zachodniopomorskie,Kamieński,11,8291,kamien%20pomorski
Jastrowie,wielkopolskie,Złotowski,72,8258,jastrowie
Poniatowa,lubelskie,Opolski,15,8246,poniatowa%20(pow.%20opolski)
Kalety,śląskie,Tarnogórski,76,8170,kalety
Kórnik,wielkopolskie,Poznański,6,8141,kornik
Janikowo,kujawsko-pomorskie,Inowrocławski,10,8136,janikowo
Lwówek Śląski,dolnośląskie,Lwówecki,17,8132,lwowek%20slaski
Poręba,śląskie,Zawierciański,40,8104,poreba
Prabuty,pomorskie,Kwidzyński,7,8091,prabuty
Pniewy,wielkopolskie,Szamotulski,9,8080,pniewy
Wolbrom,małopolskie,Olkuski,10,8045,wolbrom
Tłuszcz,mazowieckie,Wołomiński,8,8032,tluszcz
Orneta,warmińsko-mazurskie,Lidzbarski,10,8007,orneta
Ziębice,dolnośląskie,Ząbkowicki,15,7981,ziebice
Ozimek,opolskie,Opolski,3,7962,ozimek
Grodków,opolskie,Brzeski,10,7902,grodkow
Opole Lubelskie,lubelskie,Opolski,15,7864,opole%20lubelskie
Mszana Dolna,małopolskie,Limanowski,27,7826,mszana%20dolna
Żychlin,łódzkie,Kutnowski,9,7494,zychlin
Połaniec,świętokrzyskie,Staszowski,17,7453,polaniec
Suchedniów,świętokrzyskie,Skarżyski,59,7452,suchedniow
Witkowo,wielkopolskie,Gnieźnieński,8,7427,witkowo
Barczewo,warmińsko-mazurskie,Olsztyński,5,7377,barczewo
Chocianów,dolnośląskie,Polkowicki,9,7356,chocianow
Chojna,zachodniopomorskie,Gryfiński,13,7316,chojna
Nasielsk,mazowieckie,Nowodworski,13,7315,nasielsk
Trzemeszno,wielkopolskie,Gnieźnieński,5,7272,trzemeszno
Połczyn-Zdrój,zachodniopomorskie,Świdwiński,7,7243,polczyn-zdroj
Lidzbark,warmińsko-mazurskie,Działdowski,6,7182,lidzbark
Tuszyn,łódzkie,Łódzki wschodni,23,7171,tuszyn
Kąty Wrocławskie,dolnośląskie,Wrocławski,9,7168,katy%20wroclawskie
Olsztynek,warmińsko-mazurskie,Olsztyński,8,7165,olsztynek
Zwoleń,mazowieckie,Zwoleński,16,7162,zwolen
Brzozów,podkarpackie,Brzozowski,11,7158,brzozow
Pelplin,pomorskie,Tczewski,4,7124,pelplin
Praszka,opolskie,Oleski,9,7110,praszka
Zelów,łódzkie,Bełchatowski,11,7059,zelow
Sobótka,dolnośląskie,Wrocławski,32,7022,sobotka
Zbąszyń,wielkopolskie,Nowotomyski,5,7016,zbaszyn
Miasteczko Śląskie,śląskie,Tarnogórski,68,6961,miasteczko%20slaskie
Barcin,kujawsko-pomorskie,Żniński,4,6926,barcin
Sławków,śląskie,Będziński,37,6842,slawkow
Łosice,mazowieckie,Łosicki,24,6808,losice
Pieszyce,dolnośląskie,Dzierżoniowski,18,6765,pieszyce
Poddębice,łódzkie,Poddębicki,6,6756,poddebice
Żukowo,pomorskie,Kartuski,5,6709,zukowo
Gniewkowo,kujawsko-pomorskie,Inowrocławski,9,6677,gniewkowo
Czaplinek,zachodniopomorskie,Drawski,14,6663,czaplinek
Paczków,opolskie,Nyski,7,6607,paczkow
Skarszewy,pomorskie,Starogardzki,11,6598,skarszewy
Sianów,zachodniopomorskie,Koszaliński,16,6564,sianow
Łochów,mazowieckie,Węgrowski,13,6545,lochow
Sułkowice,małopolskie,Myślenicki,16,6464,sulkowice
Witnica,lubuskie,Gorzowski,8,6434,witnica
Żarów,dolnośląskie,Świdnicki,8,6424,zarow
Gogolin,opolskie,Krapkowicki,21,6418,gogolin
Białobrzegi,mazowieckie,Białobrzeski,8,6407,bialobrzegi
Rzepin,lubuskie,Słubicki,11,6404,rzepin
Łazy,śląskie,Zawierciański,9,6378,lazy
Rudnik nad Sanem,podkarpackie,Niżański,37,6375,rudnik%20nad%20sanem
Pajęczno,łódzkie,Pajęczański,20,6370,pajeczno
Zawadzkie,opolskie,Strzelecki,16,6358,zawadzkie
